"Parasite.species","host_record_lcdb_nhm","host_sp_no_subsp","host_genus_lcdb_nhm","best_host_name"
"Raphidascaris acus","Macrocyclops albidus","Macrocyclops albidus","Macrocyclops","Macrocyclops albidus"
"Raphidascaris acus","Mesomysis kowalewskyi","Mesomysis kowalewskyi","Mesomysis","Mesomysis kowalewskyi"
"Raphidascaris acus","Micropsectra praecox","Micropsectra praecox","Micropsectra","Micropsectra praecox"
"Raphidascaris acus","Nais communis","Nais communis","Nais","Nais communis"
"Raphidascaris acus","Nais variabilis","Nais variabilis","Nais","Nais variabilis"
"Raphidascaris acus","Ophidonais serpentina","Ophidonais serpentina","Ophidonais","Ophidonais serpentina"
"Raphidascaris acus","Phytochironomus sp.","Phytochironomus sp.","Phytochironomus","Phytochironomus sp."
"Raphidascaris acus","Planorbis planorbis","Planorbis planorbis","Planorbis","Planorbis planorbis"
"Raphidascaris acus","Polypedilum sp.","Polypedilum sp.","Polypedilum","Polypedilum sp."
"Raphidascaris acus","Pristina bilobata","Pristina bilobata","Pristina","Pristina bilobata"
"Raphidascaris acus","Prodiamesa olivacea","Prodiamesa olivacea","Prodiamesa","Prodiamesa olivacea"
"Raphidascaris acus","Psammoryctides albicola","Psammoryctides albicola","Psammoryctides","Psammoryctides albicola"
"Raphidascaris acus","Psammoryctides barbatus","Psammoryctides barbatus","Psammoryctides","Psammoryctides barbatus"
"Raphidascaris acus","Psammoryctides moravicus","Psammoryctides moravicus","Psammoryctides","Psammoryctides moravicus"
"Raphidascaris acus","Radix ovata","Radix ovata","Radix","Ampullaceana balthica"
"Raphidascaris acus","Slavina appendiculata","Slavina appendiculata","Slavina","Slavina appendiculata"
"Raphidascaris acus","Spercheus emarginatus","Spercheus emarginatus","Spercheus","Spercheus emarginatus"
"Raphidascaris acus","Spiralina vortex","Spiralina vortex","Spiralina","Spiralina vortex"
"Raphidascaris acus","Stylaria lacustris","Stylaria lacustris","Stylaria","Stylaria lacustris"
"Raphidascaris acus","Tendipes sp.","Tendipes sp.","Tendipes","Tendipes sp."
"Raphidascaris acus","Tetragoneuria sp.","Tetragoneuria sp.","Tetragoneuria","Tetragoneuria sp."
"Raphidascaris acus","Trichoptera sp.","Trichoptera sp.","Trichoptera","Trichoptera sp."
"Raphidascaris acus","Tubifex tubifex","Tubifex tubifex","Tubifex","Tubifex tubifex"
"Raphidascaris acus","Rana temporaria","Rana temporaria","Rana","Rana temporaria"
"Raphidascaris acus","Barbatula barbatula","Barbatula barbatula","Barbatula","Barbatula barbatula"
"Raphidascaris acus","Catostomus commersonii","Catostomus commersonii","Catostomus","Catostomus commersonii"
"Raphidascaris acus","Cottus gobio","Cottus gobio","Cottus","Cottus gobio"
"Raphidascaris acus","Cottus poecilopus","Cottus poecilopus","Cottus","Cottus poecilopus"
"Raphidascaris acus","Etheostoma caeruleum","Etheostoma caeruleum","Etheostoma","Etheostoma caeruleum"
"Raphidascaris acus","Etheostoma exile","Etheostoma exile","Etheostoma","Etheostoma exile"
"Raphidascaris acus","Etheostoma nigrum","Etheostoma nigrum","Etheostoma","Etheostoma nigrum"
"Raphidascaris acus","Fundulus diaphanus","Fundulus diaphanus","Fundulus","Fundulus diaphanus"
"Raphidascaris acus","Notemigonus crysoleucas","Notemigonus crysoleucas","Notemigonus","Notemigonus crysoleucas"
"Raphidascaris acus","Notropis heterolepis","Notropis heterolepis","Notropis","Notropis heterolepis"
"Raphidascaris acus","Perca flavescens","Perca flavescens","Perca","Perca flavescens"
"Raphidascaris acus","Phoxinus phoxinus","Phoxinus phoxinus","Phoxinus","Phoxinus phoxinus"
"Raphidascaris acus","Pimephales notatus","Pimephales notatus","Pimephales","Pimephales notatus"
"Raphidascaris acus","Pimephales promelas","Pimephales promelas","Pimephales","Pimephales promelas"
"Raphidascaris acus","Salmo trutta","Salmo trutta","Salmo","Salmo trutta"
"Raphidascaris acus","Squalius cephalus","Squalius cephalus","Squalius","Squalius cephalus"
"Raphidascaris acus","Umbra limi","Umbra limi","Umbra","Umbra limi"
"Raphidascaris acus","Esox lucius","Esox lucius","Esox","Esox lucius"
"Raphidascaris acus","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Raphidascaris acus","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus","Salvelinus fontinalis"
"Raphidascaris gigi","Cottus reinii","Cottus reinii","Cottus","Cottus reinii"
"Raphidascaris gigi","Gnathopogon elongatus","Gnathopogon elongatus","Gnathopogon","Gnathopogon elongatus"
"Raphidascaris gigi","Gymnogobius castaneus","Gymnogobius castaneus","Gymnogobius","Gymnogobius castaneus"
"Raphidascaris gigi","Leptodora kindti","Leptodora kindti","Leptodora","Leptodora kindti"
"Raphidascaris gigi","Opsariichthys uncirostris","Opsariichthys uncirostris","Opsariichthys","Opsariichthys uncirostris"
"Raphidascaris gigi","Plecoglossus altivelis","Plecoglossus altivelis","Plecoglossus","Plecoglossus altivelis"
"Raphidascaris gigi","Sarcocheilichthys variegatus","Sarcocheilichthys variegatus","Sarcocheilichthys","Sarcocheilichthys variegatus"
"Raphidascaris gigi","Tribolodon hakonensis","Tribolodon hakonensis","Tribolodon","Tribolodon hakonensis"
"Raphidascaris gigi","Oncorhynchus masou","Oncorhynchus masou","Oncorhynchus","Oncorhynchus masou"
"Raphidascaris gigi","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Raphidascaris gigi","Pelteobagrus nudiceps","Pelteobagrus nudiceps","Pelteobagrus","Tachysurus nudiceps"
"Retinometra exigua","Orchestia platensis","Orchestia platensis","Orchestia","Platorchestia platensis"
"Retinometra exigua","Gallus gallus","Gallus gallus","Gallus","Gallus gallus"
"Retinometra venusta","Cyclocypris dispersa","Cyclocypris dispersa","Cyclocypris","Cyclocypris dispersa"
"Retinometra venusta","Cypris agilis","Cypris agilis","Cypris","Cypris agilis"
"Retinometra venusta","Anas acuta","Anas acuta","Anas","Anas acuta"
"Retinometra venusta","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Rhabdochona canadensis","Caenis sp.","Caenis sp.","Caenis","Caenis sp."
"Rhabdochona canadensis","Tricorythodes sp.","Tricorythodes sp.","Tricorythodes","Tricorythodes sp."
"Rhabdochona canadensis","Cyprinella lutrensis","Cyprinella lutrensis","Cyprinella","Cyprinella lutrensis"
"Rhabdochona canadensis","Platygobio gracilis","Platygobio gracilis","Platygobio","Platygobio gracilis"
"Rhabdochona canadensis","Rhinichthys cataractae","Rhinichthys cataractae","Rhinichthys","Rhinichthys cataractae"
"Rhabdochona cascadilla","Ephemera simulans","Ephemera simulans","Ephemera","Ephemera simulans"
"Rhabdochona cascadilla","Hexagenia sp.","Hexagenia sp.","Hexagenia","Hexagenia sp."
"Rhabdochona cascadilla","Ambloplites rupestris","Ambloplites rupestris","Ambloplites","Ambloplites rupestris"
"Rhabdochona cascadilla","Ameiurus nebulosus","Ameiurus nebulosus","Ameiurus","Ameiurus nebulosus"
"Rhabdochona cascadilla","Etheostoma caeruleum","Etheostoma caeruleum","Etheostoma","Etheostoma caeruleum"
"Rhabdochona cascadilla","Luxilus cornutus","Luxilus cornutus","Luxilus","Luxilus cornutus"
"Rhabdochona cascadilla","Nocomis biguttatus","Nocomis biguttatus","Nocomis","Nocomis biguttatus"
"Rhabdochona cascadilla","Nocomis micropogon","Nocomis micropogon","Nocomis","Nocomis micropogon"
"Rhabdochona cascadilla","Pimephales notatus","Pimephales notatus","Pimephales","Pimephales notatus"
"Rhabdochona cascadilla","Semotilus atromaculatus","Semotilus atromaculatus","Semotilus","Semotilus atromaculatus"
"Rhabdochona coronacauda","Ephemera strigata","Ephemera strigata","Ephemera","Ephemera strigata"
"Rhabdochona coronacauda","Ephemerella setigera","Ephemerella setigera","Ephemerella","Ephemerella setigera"
"Rhabdochona coronacauda","Liobagrus reini","Liobagrus reini","Liobagrus","Liobagrus reinii"
"Rhabdochona coronacauda","Opsariichthys uncirostris","Opsariichthys uncirostris","Opsariichthys","Opsariichthys uncirostris"
"Rhabdochona denudata","Choroterpes trifurcata","Choroterpes trifurcata","Choroterpes","Choroterpes trifurcata"
"Rhabdochona denudata","Ephemera strigata","Ephemera strigata","Ephemera","Ephemera strigata"
"Rhabdochona denudata","Ephemerella setigera","Ephemerella setigera","Ephemerella","Ephemerella setigera"
"Rhabdochona denudata","Ephemerella sp.","Ephemerella sp.","Ephemerella","Ephemerella sp."
"Rhabdochona denudata","Habroleptoides modesta","Habroleptoides modesta","Habroleptoides","Habroleptoides modesta"
"Rhabdochona denudata","Habrophlebia lauta","Habrophlebia lauta","Habrophlebia","Habrophlebia lauta"
"Rhabdochona denudata","Heptagenia sp.","Heptagenia sp.","Heptagenia","Heptagenia sp."
"Rhabdochona denudata","Potamanthus formosus","Potamanthus formosus","Potamanthus","Potamanthus formosus"
"Rhabdochona denudata","Siphlonurus binotatus","Siphlonurus binotatus","Siphlonurus","Siphlonurus binotatus"
"Rhabdochona denudata","Leuciscus leuciscus","Leuciscus leuciscus","Leuciscus","Leuciscus leuciscus"
"Rhabdochona denudata","Rhynchocypris oxycephalus","Rhynchocypris oxycephalus","Rhynchocypris","Rhynchocypris oxycephalus"
"Rhabdochona denudata","Rutilus rutilus","Rutilus rutilus","Rutilus","Rutilus rutilus"
"Rhabdochona denudata","Squalius cephalus","Squalius cephalus","Squalius","Squalius cephalus"
"Rhabdochona denudata","Tribolodon hakonensis","Tribolodon hakonensis","Tribolodon","Tribolodon hakonensis"
"Rhabdochona denudata","Zacco platypus","Zacco platypus","Zacco","Zacco platypus"
"Rhabdochona denudata","Zacco temmincki","Zacco temmincki","Zacco","Nipponocypris temminckii"
"Rhabdochona ergensi","Habroleptoides modesta","Habroleptoides modesta","Habroleptoides","Habroleptoides modesta"
"Rhabdochona ergensi","Barbatula barbatula","Barbatula barbatula","Barbatula","Barbatula barbatula"
"Rhabdochona gnedini","Hydropsyche sp.","Hydropsyche sp.","Hydropsyche","Hydropsyche sp."
"Rhabdochona gnedini","Luciobarbus bocagei","Luciobarbus bocagei","Luciobarbus","Luciobarbus bocagei"
"Rhabdochona hellichi","Hydropsyche angustipennis","Hydropsyche angustipennis","Hydropsyche","Hydropsyche angustipennis"
"Rhabdochona hellichi","Hydropsyche pellucidula","Hydropsyche pellucidula","Hydropsyche","Hydropsyche pellucidula"
"Rhabdochona hellichi","Barbus barbus","Barbus barbus","Barbus","Barbus barbus"
"Rhabdochona kidderi","Paraleptophlebia submarginata","Paraleptophlebia submarginata","Paraleptophlebia","Paraleptophlebia submarginata"
"Rhabdochona kidderi","Tricorythodes curvatus","Tricorythodes curvatus","Tricorythodes","Tricorythodes curvatus"
"Rhabdochona kidderi","Amatitlania nigrofasciata","Amatitlania nigrofasciata","Amatitlania","Amatitlania nigrofasciata"
"Rhabdochona kidderi","Amphilophus nourissati","Amphilophus nourissati","Amphilophus","Wajpamheros nourissati"
"Rhabdochona kidderi","Cichlasoma urophthalmus","Cichlasoma urophthalmus","Cichlasoma","Mayaheros urophthalmus"
"Rhabdochona kidderi","Herichthys cyanoguttatus","Herichthys cyanoguttatus","Herichthys","Herichthys cyanoguttatus"
"Rhabdochona kidderi","Rhamdia guatemalensis","Rhamdia guatemalensis","Rhamdia","Rhamdia guatemalensis"
"Rhabdochona kidderi","Rhamdia quelen","Rhamdia quelen","Rhamdia","Rhamdia quelen"
"Rhabdochona kidderi","Theraps irregularis","Theraps irregularis","Theraps","Theraps irregularis"
"Rhabdochona kidderi","Typhliasina pearsei","Typhliasina pearsei","Typhliasina","Typhliasina pearsei"
"Rhabdochona oncorhynchi","Ephemera japonica","Ephemera japonica","Ephemera","Ephemera japonica"
"Rhabdochona oncorhynchi","Oncorhynchus keta","Oncorhynchus keta","Oncorhynchus","Oncorhynchus keta"
"Rhabdochona oncorhynchi","Oncorhynchus masou","Oncorhynchus masou","Oncorhynchus","Oncorhynchus masou"
"Rhabdochona oncorhynchi","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Rhabdochona oncorhynchi","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus","Oncorhynchus nerka"
"Rhabdochona oncorhynchi","Oncorhynchus rhodurus","Oncorhynchus rhodurus","Oncorhynchus","Oncorhynchus rhodurus"
"Rhabdochona oncorhynchi","Salmo trutta","Salmo trutta","Salmo","Salmo trutta"
"Rhabdochona oncorhynchi","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus","Salvelinus fontinalis"
"Rhabdochona oncorhynchi","Salvelinus leucomaenis","Salvelinus leucomaenis","Salvelinus","Salvelinus leucomaenis"
"Rhabdochona oncorhynchi","Salvelinus malma","Salvelinus malma","Salvelinus","Salvelinus malma"
"Rhabdochona phoxini","Ecdyonurus dispar","Ecdyonurus dispar","Ecdyonurus","Ecdyonurus dispar"
"Rhabdochona phoxini","Ephemera danica","Ephemera danica","Ephemera","Ephemera danica"
"Rhabdochona phoxini","Habrophlebia fusca","Habrophlebia fusca","Habrophlebia","Habrophlebia fusca"
"Rhabdochona phoxini","Habrophlebia lauta","Habrophlebia lauta","Habrophlebia","Habrophlebia lauta"
"Rhabdochona phoxini","Phoxinus phoxinus","Phoxinus phoxinus","Phoxinus","Phoxinus phoxinus"
"Rhodobothrium mesodesmatum","Mesodesma donacium","Mesodesma donacium","Mesodesma","Mesodesma donacium"
"Rhodobothrium mesodesmatum","Myliobatis chilensis","Myliobatis chilensis","Myliobatis","Myliobatis chilensis"
"Rhodobothrium paucitesticulare","Donax variabilis","Donax variabilis","Donax","Donax variabilis"
"Rhodobothrium paucitesticulare","Mulinia lateralis","Mulinia lateralis","Mulinia","Mulinia lateralis"
"Rhodobothrium paucitesticulare","Rhinoptera bonasus","Rhinoptera bonasus","Rhinoptera","Rhinoptera bonasus"
"Rictularia cristata","Chromatoiulus projectus","Chromatoiulus projectus","Chromatoiulus","Megaphyllum projectum"
"Rictularia cristata","Microtus brandti","Microtus brandti","Microtus","Lasiopodomys brandtii"
"Rictularia cristata","Mus musculus","Mus musculus","Mus","Mus musculus"
"Rictularia proni","Forficula auricularia","Forficula auricularia","Forficula","Forficula auricularia"
"Rictularia proni","Locusta migratoria","Locusta migratoria","Locusta","Locusta migratoria"
"Rictularia proni","Oedipoda germanica","Oedipoda germanica","Oedipoda","Oedipoda germanica"
"Rictularia proni","Omocestus raymondi","Omocestus raymondi","Omocestus","Omocestus raymondi"
"Rictularia proni","Tenebrio molitor","Tenebrio molitor","Tenebrio","Tenebrio molitor"
"Rictularia proni","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus","Apodemus sylvaticus"
"Rictularia proni","Herpestes ichneumon","Herpestes ichneumon","Herpestes","Herpestes ichneumon"
"Rictularia proni","Mus musculus","Mus musculus","Mus","Mus musculus"
"Rodentolepis asymmetrica","Ceratozetella sellnicki","Ceratozetella sellnicki","Ceratozetella","Ceratozetella sellnicki"
"Rodentolepis asymmetrica","Ceratozetes gracilis","Ceratozetes gracilis","Ceratozetes","Ceratozetes gracilis"
"Rodentolepis asymmetrica","Microtus agrestis","Microtus agrestis","Microtus","Microtus agrestis"
"Rodentolepis asymmetrica","Microtus arvalis","Microtus arvalis","Microtus","Microtus arvalis"
"Rodentolepis asymmetrica","Microtus gerbei","Microtus gerbei","Microtus","Microtus gerbei"
"Rodentolepis asymmetrica","Microtus subterraneus","Microtus subterraneus","Microtus","Microtus subterraneus"
"Rodentolepis asymmetrica","Myodes glareolus","Myodes glareolus","Myodes","Myodes glareolus"
"Rodentolepis microstoma","Cestrinus punctatissimus","Cestrinus punctatissimus","Cestrinus","Cestrinus punctatissimus"
"Rodentolepis microstoma","Ctenocephalus felis","Ctenocephalus felis","Ctenocephalus","Ctenocephalus felis"
"Rodentolepis microstoma","Oryzaephilus surinamensis","Oryzaephilus surinamensis","Oryzaephilus","Oryzaephilus surinamensis"
"Rodentolepis microstoma","Tenebrio molitor","Tenebrio molitor","Tenebrio","Tenebrio molitor"
"Rodentolepis microstoma","Tribolium castaneum","Tribolium castaneum","Tribolium","Tribolium castaneum"
"Rodentolepis microstoma","Tribolium confusum","Tribolium confusum","Tribolium","Tribolium confusum"
"Rodentolepis microstoma","Mesocricetus auratus","Mesocricetus auratus","Mesocricetus","Mesocricetus auratus"
"Rodentolepis microstoma","Mus musculus","Mus musculus","Mus","Mus musculus"
"Rodentolepis microstoma","Mus spretus","Mus spretus","Mus","Mus spretus"
"Rodentolepis microstoma","Rattus norvegicus","Rattus norvegicus","Rattus","Rattus norvegicus"
"Rodentolepis microstoma","Rattus rattus","Rattus rattus","Rattus","Rattus rattus"
"Rodentolepis straminea","Tenebrio molitor","Tenebrio molitor","Tenebrio","Tenebrio molitor"
"Rodentolepis straminea","Tribolium confusum","Tribolium confusum","Tribolium","Tribolium confusum"
"Rodentolepis straminea","Apodemus agrarius","Apodemus agrarius","Apodemus","Apodemus agrarius"
"Rodentolepis straminea","Apodemus flavicollis","Apodemus flavicollis","Apodemus","Apodemus flavicollis"
"Rodentolepis straminea","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus","Apodemus sylvaticus"
"Rodentolepis straminea","Arvicanthis niloticus","Arvicanthis niloticus","Arvicanthis","Arvicanthis niloticus"
"Rodentolepis straminea","Cricetus cricetus","Cricetus cricetus","Cricetus","Cricetus cricetus"
"Rodentolepis straminea","Dendromus melanotis","Dendromus melanotis","Dendromus","Dendromus melanotis"
"Rodentolepis straminea","Mastomys erythroleucus","Mastomys erythroleucus","Mastomys","Mastomys erythroleucus"
"Rodentolepis straminea","Mus musculoides","Mus musculoides","Mus","Mus musculoides"
"Rodentolepis straminea","Mus musculus","Mus musculus","Mus","Mus musculus"
"Rodentolepis straminea","Mus setulosus","Mus setulosus","Mus","Mus setulosus"
"Rodentolepis straminea","Uranomys ruddi","Uranomys ruddi","Uranomys","Uranomys ruddi"
"Ryjikovilepis dubininae","Agrion hastulum","Agrion hastulum","Agrion","Agrion hastulatum"
"Ryjikovilepis dubininae","Podiceps nigricollis","Podiceps nigricollis","Podiceps","Podiceps nigricollis"
"Salvelinema salmonicola","Paramoera japonica","Paramoera japonica","Paramoera","Paramoera japonica"
"Salvelinema salmonicola","Oncorhynchus keta","Oncorhynchus keta","Oncorhynchus","Oncorhynchus keta"
"Salvelinema salmonicola","Oncorhynchus masou","Oncorhynchus masou","Oncorhynchus","Oncorhynchus masou"
"Salvelinema salmonicola","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus","Oncorhynchus mykiss"
"Salvelinema salmonicola","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus","Oncorhynchus nerka"
"Salvelinema salmonicola","Salvelinus leucomaenis","Salvelinus leucomaenis","Salvelinus","Salvelinus leucomaenis"
"Salvelinema salmonicola","Salvelinus malma","Salvelinus malma","Salvelinus","Salvelinus malma"
"Salvelinema walkeri","Ramellogammarus vancouverensis","Ramellogammarus vancouverensis","Ramellogammarus","Ramellogammarus vancouverensis"
"Salvelinema walkeri","Oncorhynchus clarkii","Oncorhynchus clarkii","Oncorhynchus","Oncorhynchus clarkii"
"Salvelinema walkeri","Oncorhynchus kisutch","Oncorhynchus kisutch","Oncorhynchus","Oncorhynchus kisutch"
"Schistocephalus pungitii","Acanthocyclops gigas","Acanthocyclops gigas","Acanthocyclops","Acanthocyclops gigas"
"Schistocephalus pungitii","Acanthocyclops viridis","Acanthocyclops viridis","Acanthocyclops","Acanthocyclops viridis"
"Schistocephalus pungitii","Cyclops bicuspidatus","Cyclops bicuspidatus","Cyclops","Diacyclops bicuspidatus"
"Schistocephalus pungitii","Cyclops furcifer","Cyclops furcifer","Cyclops","Cyclops furcifer"
"Schistocephalus pungitii","Cyclops strenuus","Cyclops strenuus","Cyclops","Cyclops ochridanus"
"Schistocephalus pungitii","Eudiaptomus gracilis","Eudiaptomus gracilis","Eudiaptomus","Eudiaptomus gracilis"
"Schistocephalus pungitii","Macrocyclops albidus","Macrocyclops albidus","Macrocyclops","Macrocyclops albidus"
"Schistocephalus pungitii","Macrocyclops fuscus","Macrocyclops fuscus","Macrocyclops","Macrocyclops fuscus"
"Schistocephalus pungitii","Pungitius pungitius","Pungitius pungitius","Pungitius","Pungitius pungitius"
"Schistocephalus solidus","Acanthocyclops gigas","Acanthocyclops gigas","Acanthocyclops","Acanthocyclops gigas"
"Schistocephalus solidus","Acanthocyclops viridis","Acanthocyclops viridis","Acanthocyclops","Acanthocyclops viridis"
"Schistocephalus solidus","Cyclops bicuspidatus","Cyclops bicuspidatus","Cyclops","Diacyclops bicuspidatus"
"Schistocephalus solidus","Cyclops furcifer","Cyclops furcifer","Cyclops","Cyclops furcifer"
"Schistocephalus solidus","Cyclops strenuus","Cyclops strenuus","Cyclops","Cyclops ochridanus"
"Schistocephalus solidus","Cyclops vicinus","Cyclops vicinus","Cyclops","Cyclops kikuchii"
"Schistocephalus solidus","Eucyclops macruroides","Eucyclops macruroides","Eucyclops","Eucyclops macruroides"
"Schistocephalus solidus","Eucyclops macrurus","Eucyclops macrurus","Eucyclops","Eucyclops macrurus"
"Schistocephalus solidus","Eucyclops serrulatus","Eucyclops serrulatus","Eucyclops","Eucyclops serrulatus"
"Schistocephalus solidus","Eudiaptomus gracilis","Eudiaptomus gracilis","Eudiaptomus","Eudiaptomus gracilis"
"Schistocephalus solidus","Eudiaptomus graciloides","Eudiaptomus graciloides","Eudiaptomus","Eudiaptomus graciloides"
"Schistocephalus solidus","Macrocyclops albidus","Macrocyclops albidus","Macrocyclops","Macrocyclops albidus"
"Schistocephalus solidus","Macrocyclops fuscus","Macrocyclops fuscus","Macrocyclops","Macrocyclops fuscus"
"Schistocephalus solidus","Mesocyclops leuckarti","Mesocyclops leuckarti","Mesocyclops","Mesocyclops leuckarti"
"Schistocephalus solidus","Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus","Gasterosteus aculeatus"
"Schistocephalus solidus","Aechmophorus occidentalis","Aechmophorus occidentalis","Aechmophorus","Aechmophorus occidentalis"
"Schistocephalus solidus","Anas platyrhynchos","Anas platyrhynchos","Anas","Anas platyrhynchos"
"Schistocephalus solidus","Bucephala clangula","Bucephala clangula","Bucephala","Bucephala clangula"
"Schistocephalus solidus","Chroicocephalus philadelphia","Chroicocephalus philadelphia","Chroicocephalus","Chroicocephalus philadelphia"
"Schistocephalus solidus","Gavia arctica","Gavia arctica","Gavia","Gavia arctica"
"Schistocephalus solidus","Larus canus","Larus canus","Larus","Larus canus"
"Schistocephalus solidus","Larus delawarensis","Larus delawarensis","Larus","Larus delawarensis"
"Schistocephalus solidus","Larus ridibundus","Larus ridibundus","Larus","Chroicocephalus ridibundus"
"Schistocephalus solidus","Mergus merganser","Mergus merganser","Mergus","Mergus merganser"
"Schistocephalus solidus","Mergus serrator","Mergus serrator","Mergus","Mergus serrator"
"Schistocephalus solidus","Phalacrocorax auritus","Phalacrocorax auritus","Phalacrocorax","Phalacrocorax auritus"
"Schistocephalus solidus","Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax","Phalacrocorax carbo"
"Schistocephalus solidus","Podiceps grisegena","Podiceps grisegena","Podiceps","Podiceps grisegena"
"Schistocephalus solidus","Podiceps nigricollis","Podiceps nigricollis","Podiceps","Podiceps nigricollis"
"Schistotaenia colymba","Ischnura elegans","Ischnura elegans","Ischnura","Ischnura elegans"
"Schistotaenia colymba","Podiceps auritus","Podiceps auritus","Podiceps","Podiceps auritus"
"Schistotaenia colymba","Podiceps nigricollis","Podiceps nigricollis","Podiceps","Podiceps nigricollis"
"Schistotaenia srivastavai","Agrion armatum","Agrion armatum","Agrion","Agrion armatum"
"Schistotaenia srivastavai","Agrion hastulum","Agrion hastulum","Agrion","Agrion hastulatum"
"Schistotaenia srivastavai","Enallagma cyathigerum","Enallagma cyathigerum","Enallagma","Enallagma cyathigerum"
"Schistotaenia srivastavai","Erythromma najas","Erythromma najas","Erythromma","Erythromma najas"
"Schistotaenia srivastavai","Ischnura pumilio","Ischnura pumilio","Ischnura","Ischnura pumilio"
"Schistotaenia srivastavai","Sympycna sp.","Sympycna sp.","Sympycna","Sympycna sp."
"Schistotaenia srivastavai","Podiceps auritus","Podiceps auritus","Podiceps","Podiceps auritus"
"Schistotaenia srivastavai","Podiceps grisegena","Podiceps grisegena","Podiceps","Podiceps grisegena"
"Schistotaenia srivastavai","Podiceps nigricollis","Podiceps nigricollis","Podiceps","Podiceps nigricollis"
"Schistotaenia tenuicirrus","Anax junius","Anax junius","Anax","Anax junius"
"Schistotaenia tenuicirrus","Podiceps auritus","Podiceps auritus","Podiceps","Podiceps auritus"
"Schistotaenia tenuicirrus","Podiceps grisegena","Podiceps grisegena","Podiceps","Podiceps grisegena"
"Schistotaenia tenuicirrus","Podilymbus podiceps","Podilymbus podiceps","Podilymbus","Podilymbus podiceps"
"Schizorchis altaica","Galumna virginiensis","Galumna virginiensis","Galumna","Galumna virginiensis"
"Schizorchis altaica","Scheloribates chauhani","Scheloribates chauhani","Scheloribates","Scheloribates chauhani"
"Schizorchis altaica","Ochotona curzoniae","Ochotona curzoniae","Ochotona","Ochotona curzoniae"
"Sciurotaenia transversaria","Parakalumma lydia","Parakalumma lydia","Parakalumma","Neoribates lydia"
"Sciurotaenia transversaria","Scheloribates chauhani","Scheloribates chauhani","Scheloribates","Scheloribates chauhani"
"Sciurotaenia transversaria","Marmota baibacina","Marmota baibacina","Marmota","Marmota baibacina"
"Sciurotaenia transversaria","Marmota caudata","Marmota caudata","Marmota","Marmota caudata"
"Sciurotaenia transversaria","Marmota himalayana","Marmota himalayana","Marmota","Marmota himalayana"
"Sciurotaenia transversaria","Spermophilus parryi","Spermophilus parryi","Spermophilus","Spermophilus parryi"
"Sclerocollum saudii","Megaluropus agilis","Megaluropus agilis","Megaluropus","Megaluropus agilis"
"Sclerocollum saudii","Siganus rivulatus","Siganus rivulatus","Siganus","Siganus rivulatus"
"Serpinema trispinosum","Macrocyclops albidus","Macrocyclops albidus","Macrocyclops","Macrocyclops albidus"
"Serpinema trispinosum","Cichlasoma urophthalmus","Cichlasoma urophthalmus","Cichlasoma","Mayaheros urophthalmus"
"Serpinema trispinosum","Enallagma civile","Enallagma civile","Enallagma","Enallagma civile"
"Serpinema trispinosum","Ischnura hastata","Ischnura hastata","Ischnura","Ischnura hastata"
"Serpinema trispinosum","Ischnura verticalis","Ischnura verticalis","Ischnura","Ischnura verticalis"
"Serpinema trispinosum","Lestes disjunctus","Lestes disjunctus","Lestes","Lestes disjunctus"
"Serpinema trispinosum","Lymnaea stagnalis","Lymnaea stagnalis","Lymnaea","Lymnaea stagnalis"
"Serpinema trispinosum","Lysapsus limellum","Lysapsus limellum","Lysapsus","Pseudis limellum"
"Serpinema trispinosum","Trachemys scripta","Trachemys scripta","Trachemys","Trachemys scripta"
"Serratospiculum seurati","Opatroides punctulatus","Opatroides punctulatus","Opatroides","Opatroides punctulatus"
"Serratospiculum seurati","Scarabaeus cristatus","Scarabaeus cristatus","Scarabaeus","Heliocopris bucephalus"
"Serratospiculum seurati","Xeroniscus erythraeus","Xeroniscus erythraeus","Xeroniscus","Xeroniscus erythraeus"
"Serratospiculum seurati","Falco biarmicus","Falco biarmicus","Falco","Falco biarmicus"
"Serratospiculum seurati","Falco cherrug","Falco cherrug","Falco","Falco cherrug"
"Serratospiculum tendo","Geotrupes sylvaticus","Geotrupes sylvaticus","Geotrupes","Anoplotrupes stercorosus"
"Serratospiculum tendo","Locusta migratoria","Locusta migratoria","Locusta","Locusta migratoria"
"Serratospiculum tendo","Falco peregrinus","Falco peregrinus","Falco","Falco peregrinus"
"Seuratum cadarachense","Locusta migratoria","Locusta migratoria","Locusta","Locusta migratoria"
