"Parasite.species","n_lcdb","n_pubmed_spname","n_pubmed_spname_group"
"Diorchis ransomi",7,0,0
"Diphyllobothrium dendriticum",11,85,52
"Diphyllobothrium ditremum",7,14,9
"Diphyllobothrium latum",20,270,95
"Diphyllobothrium nihonkaiense",7,51,20
"Diplocotyle olrikii",5,3,3
"Diplogonoporus balaenopterae",8,10,9
"Diploposthe laevis",8,1,1
"Diploposthe skrjabini",1,0,0
"Diplopylidium acanthotetra",6,0,0
"Diplopylidium nölleri",5,7,3
"Diplotriaena agelaius",2,0,0
"Diplotriaena bargusinica",1,2,2
"Diplotriaena sokolowi",1,0,0
"Diplotriaena tricuspis",2,2,2
"Diplotriaena tridens",1,0,0
"Dipylidium caninum",8,368,214
"Dispharynx nasuta",4,28,20
"Dollfusentis chandleri",4,1,1
"Dracunculus doi",2,0,0
"Dracunculus globocephalus",2,1,1
"Dracunculus insignis",8,25,22
"Dracunculus medinensis",5,276,226
"Dracunculus oesophagea",2,0,0
"Dracunculus ophidensis",1,0,0
"Drepanidotaenia bisacculina",1,0,0
"Drepanidotaenia lanceolata",7,7,5
"Duplicibothrium minutum",4,0,0
"Echinobothrium affine",3,0,0
"Echinobothrium benedeni",1,0,0
"Echinobothrium chisholmae",1,2,2
"Echinobothrium lateroporum",1,0,0
"Echinobothrium reesae",2,0,0
"Echinobothrium typus",4,0,0
"Echinocephalus overstreeti",4,3,3
"Echinocephalus pseudouncinatus",3,0,0
"Echinocephalus sinensis",2,6,6
"Echinocephalus uncinatus",3,0,0
"Echinococcus borealis",4,0,0
"Echinococcus canadensis",3,71,12
"Echinococcus equinus",7,25,6
"Echinococcus felidis",4,10,1
"Echinococcus granulosus",14,4018,481
"Echinococcus intermedius",5,8,0
"Echinococcus multilocularis",5,1900,341
"Echinococcus oligarthrus",6,32,10
"Echinococcus ortleppi",5,41,8
"Echinococcus shiquicus",2,20,6
"Echinococcus vogeli",4,58,11
"Echinocotyle clanguli",1,0,0
"Echinocotyle clerci",2,0,0
"Echinocotyle druzniensis",3,0,0
"Echinocotyle rosseteri",9,0,0
"Echinorhynchus borealis",4,5,4
"Echinorhynchus bothniensis",4,2,2
"Echinorhynchus gadi",11,30,28
"Echinorhynchus lageniformis",3,0,0
"Echinorhynchus leidyi",3,1,1
"Echinorhynchus salmonis",15,13,11
"Echinorhynchus sp.",1,3,2
"Echinorhynchus truttae",7,21,19
"Echinuria uncinata",8,8,7
"Elaphostrongylus alces",5,8,5
"Elaphostrongylus cervi",11,57,44
"Elaphostrongylus rangiferi",9,27,24
"Enterobius vermicularis",3,1598,212
"Epomidiostomum uncinatum",4,3,2
"Equinia mamillana",5,0,0
"Eubothrium crassum",11,21,18
"Eubothrium rugosum",4,12,12
"Eubothrium salvelini",12,11,11
"Eucoleus aerophilus",7,63,43
"Eucoleus annulatus",7,4,4
"Eucoleus contortus",5,14,13
"Eucoleus frugilegi",2,0,0
"Eurycestus avoceti",4,6,6
"Eustrongylides excisus",2,7,6
"Eustrongylides ignotus",6,15,14
"Eustrongylides tubifex",7,5,5
"Fessisentis fessus",2,0,0
"Fessisentis friedi",3,0,0
"Fessisentis necturorum",3,0,0
"Filaroides hirthi",2,25,10
"Filaroides martis",4,4,4
"Filicollis anatis",5,5,5
"Fimbriaria fasciolaris",19,6,6
"Fimbriarioides intermedia",2,0,0
"Fimbriarioides tadornae",1,0,0
"Flamingolepis dolguschini",2,0,0
"Flamingolepis flamingo",2,0,0
"Flamingolepis liguloides",2,11,11
"Flamingolepis tengizi",2,0,0
"Gallegostrongylus australis",2,0,0
"Gangesia parasiluri",2,0,0
"Gastrotaenia paracygni",1,0,0
"Geopetitia aspiculata",3,1,1
"Glaridacris catostomi",6,4,4
"Glaridacris confusa",3,0,0
"Glaridacris vogei",2,0,0
"Glossocercus auritus",5,4,4
"Glossocercus caribaensis",6,2,2
"Glossocercus cyprinodontis",3,2,2
"Gnathostoma binucleatum",8,22,6
"Gnathostoma doloresi",10,24,10
"Gnathostoma hispidum",7,20,10
"Gnathostoma lamothei",3,3,2
"Gnathostoma nipponicum",13,18,6
"Gnathostoma procyonis",4,8,6
"Gnathostoma spinigerum",17,205,91
"Gnathostoma turgidum",5,10,7
"Gnathostoma vietnamicum",2,0,0
"Goezia ascaroides",1,0,0
"Golvanacanthus blennii",2,0,0
"Gongylonema brevispiculum",2,0,0
"Gongylonema congolense",2,4,4
"Gongylonema dupuisi",1,0,0
"Gongylonema ingluvicola",4,12,8
"Gongylonema mucronatum",2,0,0
"Gongylonema neoplasticum",6,12,8
"Gongylonema problematicum",4,0,0
"Gongylonema pulchrum",11,62,40
"Gongylonema soricis",1,0,0
"Graphidium strigosum",4,31,23
"Grillotia erinaceus",6,11,11
"Gynandrotaenia stammeri",4,0,0
"Gyrinicola batrachiensis",4,8,8
"Hadjelia truncata",6,10,9
"Haemonchus contortus",16,2799,1627
"Haemonchus placei",6,200,151
"Hammerschmidtiella diesingi",4,13,13
"Haplobothrium globuliforme",5,3,2
"Hartertia gallinarum",1,0,0
"Hartertia obesa",3,0,0
"Hassalstrongylus musculi",2,0,0
"Hedruris androphora",2,0,0
"Hedruris ijimai",2,0,0
"Hedruris spinigera",2,3,3
"Hedruris suttonae",1,0,0
"Heligmosomoides kurilensis",1,1,1
"Heligmosomoides laevis",3,0,0
"Heligmosomoides polygyrus",6,799,541
"Heligmosomum mixtum",4,15,13
"Hepatojarakus malayae",2,8,8
"Heterakis gallinarum",10,158,109
"Heterakis spumosa",5,40,37
"Hexaglandula corynosoma",2,3,3
"Hexametra angusticaecoides",3,0,0
"Hexametra boddaertii",8,3,3
"Hexametra quadricornis",3,0,0
"Hilmylepis nagatyi",4,0,0
"Huffmanela huffmani",3,4,4
"Hunterella nodulosa",4,6,6
"Hymenolepis abortiva",9,0,0
"Hymenolepis aequabilis",2,0,0
"Hymenolepis cantaniana",3,2,1
"Hymenolepis carioca",6,10,4
"Hymenolepis citelli",14,28,19
"Hymenolepis diminuta",21,1081,577
"Hymenolepis nana",16,1002,267
"Hymenolepis peromysci",2,0,0
"Hymenolepis tenerrima",2,0,0
"Hymenolepis vistulae",1,0,0
"Hyostrongylus rubidus",8,86,28
"Hysterothylacium aduncum",15,86,72
"Hysterothylacium analarum",2,0,0
"Hysterothylacium bidentatum",2,0,0
"Hysterothylacium haze",2,3,3
"Hystrichis tricolor",3,1,1
"Ibirhynchus dimorpha",3,0,0
"Joyeuxiella echinorhynchoides",3,2,2
"Joyeuxiella pasqualei",6,11,4
"Joyeuxilepis acanthorhyncha",5,0,0
"Joyeuxilepis decacantha",6,0,0
"Joyeuxilepis octacantha",1,0,0
"Khawia armeniaca",1,5,5
"Khawia baltica",2,2,2
"Khawia japonensis",4,6,6
"Khawia parva",2,0,0
"Khawia sinensis",8,23,22
"Labiostrongylus eugenii",2,4,4
"Lacistorhynchus dollfusi",7,2,2
"Lacistorhynchus tenuis",5,6,6
"Lagochilascaris major",3,8,7
"Lagochilascaris minor",6,45,30
"Lagochilascaris sprenti",2,3,3
"Lateriporus clerci",4,0,0
"Lateriporus mathevossianae",2,0,0
"Lateriporus skrjabini",3,0,0
"Lateriporus teres",5,0,0
"Leidynema appendiculata",4,7,7
"Leptorhynchoides acanthidion",1,0,0
"Leptorhynchoides apoglyphicus",1,0,0
"Leptorhynchoides atlanteus",1,0,0
"Leptorhynchoides macrorchis",1,0,0
"Leptorhynchoides nebularosis",1,0,0
"Leptorhynchoides seminolus",1,0,0
"Leptorhynchoides thecatus",3,24,23
