"Host","Parasite","ParasiteFull"
"Pelecanus occidentalis","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Pica pica sericia","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Podiceps ruficollis poggei","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Pseudobagrus fulvidraco","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Rallus aquaticus indicus","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Rana rugulosa","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Rana tigrina","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Rasbora conius","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Siniperca chuatsi","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Tachybaptus ruficollis","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Therapon plumbeus","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Trichogaster fasciatus","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Tropidonotus ","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Utorides striatus","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Varanus bengalensis","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Wallago attu","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"Xenentodon cancila","Gnathostoma spinigerum","Gnathostoma spinigerum Owen, 1836"
"(Mammal) ","Gnathostoma turgidum","Gnathostoma turgidum Stossich, 1902"
"Didelphis azarae azarae","Gnathostoma turgidum","Gnathostoma turgidum Stossich, 1902"
"Didelphis virginiana","Gnathostoma turgidum","Gnathostoma turgidum Stossich, 1902"
"Homo sapiens","Gnathostoma turgidum","Gnathostoma turgidum Stossich, 1902"
"Oreochromis niloticus","Gnathostoma turgidum","Gnathostoma turgidum Stossich, 1902"
"Fluta alba","Gnathostoma vietnamicum","Gnathostoma vietnamicum Le Van Hoa, 1965"
"(Fish) ","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Abramis brama","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Alburnus alburnus","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Anguilla anguilla","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Blicca bjoerkna","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Oncorhynchus mykiss","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Pelecus cultratus","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Platichthys flesus","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Salmo dentex","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Scardinius erythrophthalmus","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Silurus glanis","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Thrissocles hamiltoni","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Thryrissa hamiltoni","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Thryssa hamiltoni","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Trachinus vipera","Goezia ascaroides","Goezia ascaroides (Goeze, 1782)"
"Mastacembelus pancalus","Goezia pseudoascaroides","Goezia pseudoascaroides Rehana & Bilqees, 1972"
"(Fish) ","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"(Marine_Fish) ","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Blennius pavo","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Blennius sphinx","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Blennius tentacularis","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Crenilabrus ocellatus","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Crenilabrus quinquemaculatus","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Gammarus (Marinogammarus) olivii","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Gobius cobitis","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Lepadogaster lepadogaster","Golvanacanthus blennii","Golvanacanthus blennii Paggi & Orecchia, 1972"
"Gerbillus campestris","Gongylonema brevispiculum","Gongylonema brevispiculum Seurat, 1914"
"Gerbillus gerbillus","Gongylonema brevispiculum","Gongylonema brevispiculum Seurat, 1914"
"Gerbillus pyramidum","Gongylonema brevispiculum","Gongylonema brevispiculum Seurat, 1914"
"Meriones libycus","Gongylonema brevispiculum","Gongylonema brevispiculum Seurat, 1914"
"Meriones shawi","Gongylonema brevispiculum","Gongylonema brevispiculum Seurat, 1914"
"Psammomys obesus","Gongylonema brevispiculum","Gongylonema brevispiculum Seurat, 1914"
"Cairina moschata domestica","Gongylonema congolense","Gongylonema congolense Fain, 1955"
"(Rodent) ","Gongylonema dupuisi","Gongylonema dupuisi Quentin, 1965"
"(Domestic fowl) ","Gongylonema ingluvicola","Gongylonema ingluvicola Ransom, 1904"
"Colinus virginianus","Gongylonema ingluvicola","Gongylonema ingluvicola Ransom, 1904"
"Columba livia domestica","Gongylonema ingluvicola","Gongylonema ingluvicola Ransom, 1904"
"Gallus gallus domesticus","Gongylonema ingluvicola","Gongylonema ingluvicola Ransom, 1904"
"Phasianus colchicus","Gongylonema ingluvicola","Gongylonema ingluvicola Ransom, 1904"
"Aethechinus algirus","Gongylonema mucronatum","Gongylonema mucronatum Seurat, 1916"
"Erinaceus algirus","Gongylonema mucronatum","Gongylonema mucronatum Seurat, 1916"
"Erinaceus concolor","Gongylonema mucronatum","Gongylonema mucronatum Seurat, 1916"
"(Rodent) ","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Apodemus agrarius","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Apodemus speciosus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Apodemus sylvaticus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Arvicola terrestris","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Cavia porcellus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Cricetus cricetus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Meriones ","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Meriones persicus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Meriones unguiculatus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Mesocricetus brandti","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Microtus majori","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Microtus socialis","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Mus musculus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Mus sp.","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Oryctolagus cuniculus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Rattus ","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Rattus exulans","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Rattus norvegicus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Rattus rattus","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Rattus rattus mindanensis","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"Rattus tanezumi","Gongylonema neoplasticum","Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)"
"(Cockroach) ","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"(Rodent) ","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Adesmia biseriata","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Adesmia gebleri","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Apodemus flavicollis","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
