"Host","Parasite","ParasiteFull"
"Apodemus sylvaticus","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Blaps ","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Blaps deplanata","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Blaps fausti","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Blaps oblonga","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Blaps sp.","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Clethrionomys glareolus","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Mus musculus","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Phodomalo fausti","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Pisterotarsa ","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Pisterotarsa gigantea","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"Trigonoscelis ","Gongylonema problematicum","Gongylonema problematicum Schulz, 1924"
"(Beetle) ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"(Chiroptera) ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"(Cockroach) ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"(Insectivora) ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"(Mammal) ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"(Ruminant) ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"(Tettigonidae) ","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aepyceros melampus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius elegans","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius fimetarius","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius fossor","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius granarius","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius haroldianus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius lugens","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius lunifer","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius luridus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius macovski","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius melanostictus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius moestus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius pusillus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius rectus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius satellitius","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius sordidus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius sp.","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius sublimatus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius tianshanicus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Aphodius urostigma","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Atelexia albiventris","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Blaps deplanata","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Blaps oblonga","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Blatella germanica","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Bos taurus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Bufo viridis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Caccobius jessoensis","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Caccobius schreberi","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Calliptamus barbarus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Calliptamus italicus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Callithrix jacchus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Camelus dromedarius","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Canis familiaris","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Capra hircus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
"Capreolus capreolus","Gongylonema pulchrum","Gongylonema pulchrum Molin, 1857"
