"Parasite.species","Host.species","best_host_name"
"Acanthocephalus dirus","Cristivomer namaycush","Salvelinus namaycush"
"Acanthocephalus dirus","Cyprinus carpio","Cyprinus carpio"
"Acanthocephalus dirus","Ericymba buccata","Notropis buccatus"
"Acanthocephalus dirus","Erimyzon sucetta","Erimyzon sucetta"
"Acanthocephalus dirus","Esox americanus","Esox americanus"
"Acanthocephalus dirus","Esox lucius","Esox lucius"
"Acanthocephalus dirus","Etheostoma spectabile","Etheostoma spectabile"
"Acanthocephalus dirus","Etheostoma squamiceps","Etheostoma squamiceps"
"Acanthocephalus dirus","Fundulus notatus","Fundulus notatus"
"Acanthocephalus dirus","Ictalurus melas","Ameiurus melas"
"Acanthocephalus dirus","Ictalurus natalis","Ameiurus natalis"
"Acanthocephalus dirus","Ictalurus punctatus","Ictalurus punctatus"
"Acanthocephalus dirus","Ictiobus sp.","Ictiobus sp."
"Acanthocephalus dirus","Lepomis cyanellus","Lepomis cyanellus"
"Acanthocephalus dirus","Lepomis gibbosus","Lepomis gibbosus"
"Acanthocephalus dirus","Lepomis macrochirus","Lepomis macrochirus"
"Acanthocephalus dirus","Lepomis megalotis","Lepomis megalotis"
"Acanthocephalus dirus","Lirceus lineatus","Lirceus lineatus"
"Acanthocephalus dirus","Lota lota","Lota lota"
"Acanthocephalus dirus","Microgadus tomcod","Microgadus tomcod"
"Acanthocephalus dirus","Micropterus salmoides","Micropterus salmoides"
"Acanthocephalus dirus","Moxostoma erythrurum","Moxostoma erythrurum"
"Acanthocephalus dirus","Necturus maculosus","Necturus maculosus"
"Acanthocephalus dirus","Neogobius melanostomus","Neogobius melanostomus"
"Acanthocephalus dirus","Notemigonus crysoleucas","Notemigonus crysoleucas"
"Acanthocephalus dirus","Notophthalmus viridescens","Notophthalmus viridescens"
"Acanthocephalus dirus","Notropis atherinoides","Notropis atherinoides"
"Acanthocephalus dirus","Notropis cornutus","Luxilus cornutus"
"Acanthocephalus dirus","Notropis spilopterus","Cyprinella spiloptera"
"Acanthocephalus dirus","Notropis umbratilis","Lythrurus umbratilis"
"Acanthocephalus dirus","Oncorhynchus kisutch","Oncorhynchus kisutch"
"Acanthocephalus dirus","Oncorhynchus mykiss","Oncorhynchus mykiss"
"Acanthocephalus dirus","Oncorhynchus nerka","Oncorhynchus nerka"
"Acanthocephalus dirus","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha"
"Acanthocephalus dirus","Osmerus mordax","Osmerus mordax"
"Acanthocephalus dirus","Perca flavescens","Perca flavescens"
"Acanthocephalus dirus","Phenacobius mirabilis","Phenacobius mirabilis"
"Acanthocephalus dirus","Pimephales notatus","Pimephales notatus"
"Acanthocephalus dirus","Pimephalus promelas","Pimephales promelas"
"Acanthocephalus dirus","Pomoxis annularis","Pomoxis annularis"
"Acanthocephalus dirus","Pomoxis nigromaculatus","Pomoxis nigromaculatus"
"Acanthocephalus dirus","Pontoporeia affinis","Monoporeia affinis"
"Acanthocephalus dirus","Roccus chrysops","Morone chrysops"
"Acanthocephalus dirus","Salmo gairdneri","Oncorhynchus mykiss"
"Acanthocephalus dirus","Salmo gairdneri irideus","Oncorhynchus mykiss"
"Acanthocephalus dirus","Salmo trutta","Salmo trutta"
"Acanthocephalus dirus","Salvelinus fontinalis","Salvelinus fontinalis"
"Acanthocephalus dirus","Salvelinus fontinalis x namaycush","Salvelinus fontinalis"
"Acanthocephalus dirus","Salvelinus namaycush","Salvelinus namaycush"
"Acanthocephalus dirus","Semotilus atromaculatus","Semotilus atromaculatus"
"Acanthocephalus dirus","Stizostedion vitreum","Sander vitreus"
"Acanthocephalus lucii","Abramis bjoerkna","Blicca bjoerkna"
"Acanthocephalus lucii","Abramis brama","Abramis brama"
"Acanthocephalus lucii","Abramis sapa","Ballerus sapa"
"Acanthocephalus lucii","Acerina cernua","Gymnocephalus cernua"
