"Parasite.species","hosts_missing_tax_lcdb","hosts_missing_tax_comb","hsi_lcdb","var.hsi_lcdb","hsi_comb","var.hsi_comb"
"Archigetes sieboldi",0,0,3.33333333333333,3.55555555555556,3.94117647058824,4.35601691657055
"Arhythmorhynchus frassoni",0,0,5.33333333333333,0.888888888888889,4.5,2.25
"Ascaridia columbae",0,1,3.14285714285714,1.19387755102041,3.44852941176471,1.30617430795848
"Ascaridia compar",0,0,2,0,2.37891737891738,0.617105380638144
"Ascaridia dissimilis",0,0,1,NA,2,0
"Ascaridia galli",0,0,2.66666666666667,0.222222222222222,3.86504723346829,2.23010084122379
"Ascaridia numidae",0,0,3,0,2.66666666666667,0.222222222222222
"Ascaris lumbricoides",0,0,4,0,4.26461538461538,0.87767100591716
"Ascaris suum",0,0,4,0,4.28888888888889,1.31654320987654
"Ascarophis arctica",0,0,4.21978021978022,1.51213621543292,4.3741935483871,1.65782865071106
"Ascarophis filiformis",1,1,4.26666666666667,3.66222222222222,4.24444444444444,2.27358024691358
"Ascarophis marina",0,0,5.16666666666667,1.47222222222222,5,1.2
"Ascarophis morrhuae",1,1,4.82222222222222,1.87950617283951,4.72380952380952,1.68562358276644
"Ascarophis pacificus",1,1,4.62637362637363,2.10216157468905,4.62637362637363,2.10216157468905
"Ascarophis sp. A",0,0,1,NA,1,NA
"Ascarophis sp. B",0,0,1,NA,1,NA
"Ascarophis sp. C",0,0,1,0,1,0
"Ascarophis sp. D",0,0,3,0,3,0
"Ascarophis sp. E",0,0,3,0,3,0
"Ascarophis sp. F",1,1,NA,NA,NA,NA
"Ascarops strongylina",0,2,3.91717171717172,3.68404856647281,4.60632019798211,2.77629357879821
"Aspersentis megarhynchus",0,1,4.33333333333333,3.42222222222222,4.07407407407407,3.28022731726435
"Aspiculuris tetraptera",0,1,2,0,2.54461538461538,0.34647100591716
"Atactorhynchus verecundus",0,0,6,0,5.33333333333333,0.888888888888889
"Atractolytocestus sagittatus",0,0,4.33333333333333,5.55555555555555,4.33333333333333,5.55555555555555
"Atriotaenia procyonis",0,0,6,0,6,0
"Austramphilina elongata",0,0,4.33333333333333,2.88888888888889,4.33333333333333,2.88888888888889
"Avioserpens galliardi",0,0,3.11111111111111,3.26543209876543,3.39393939393939,2.45087235996327
"Avioserpens mosgovoyi",1,1,4.96969696969697,1.39302112029385,4.91176470588235,1.88927335640138
"Avioserpens taiwana",0,0,4.13333333333333,3.98222222222222,4.13333333333333,3.98222222222222
"Avitellina arctica",0,0,4.66666666666667,3.88888888888889,4.66666666666667,3.88888888888889
"Avitellina centripunctata",0,1,3.61111111111111,3.90432098765432,3.35714285714286,2.67294159042928
"Avitellina lahorea",0,0,4.5,4.58333333333333,4.06666666666667,4.32888888888889
"Baruscapillaria obsignata",0,1,3.69444444444444,0.545524691358025,3.65452091767881,0.625583474933571
"Batrachocamallanus slomei",0,0,4.66666666666667,3.55555555555556,4.5,4.58333333333333
"Baylisascaris columnaris",0,0,3.1,0.69,3.39285714285714,0.667091836734694
"Baylisascaris devosi",0,0,3,1,2.72527472527473,1.18826228716339
"Baylisascaris laevis",0,0,1.93333333333333,0.0622222222222222,1.83333333333333,0.138888888888889
"Baylisascaris potosis",0,0,4,0,4,0
"Baylisascaris procyonis",0,0,3.78205128205128,0.657626561472715,4.34875115633672,0.602701955653149
"Baylisascaris schroederi",0,0,4,0,4,0
"Baylisascaris tasmaniensis",0,0,3.3,1.21,3.33333333333333,0.984126984126984
"Baylisascaris transfuga",0,1,3.33333333333333,2.6031746031746,3.10714285714286,2.80994897959184
"Bertiella mucronata",0,0,4.7,2.61,4.46666666666667,2.78222222222222
"Bertiella studeri",0,0,3.96428571428571,3.39158163265306,2.90909090909091,2.43762298307753
"Biacetabulum biloculoides",0,0,6,0,4.66666666666667,3.55555555555556
"Biacetabulum infrequens",0,0,4.03571428571429,4.5344387755102,4.03571428571429,4.5344387755102
"Biacetabulum macrocephalum",0,0,4.66666666666667,3.55555555555556,4.66666666666667,3.55555555555556
"Blatticola blattae",0,4,1,NA,2.5,0.25
"Bolbosoma balaenae",0,0,3.17857142857143,3.21811224489796,3.22222222222222,2.39506172839506
"Bolbosoma nipponicum",0,0,4.30147058823529,1.91646842560554,4.25238095238095,1.73154195011338
"Bolbosoma vasculosum",0,0,5,0,4.11336032388664,0.831953755456845
"Bothridium pythonis",0,0,4.33333333333333,2.62222222222222,4.33333333333333,2.62222222222222
"Bothrimonus fallax",0,0,6,0,2.46428571428571,4.32015306122449
"Bothriocephalus acheilognathi",0,0,4.13536585365854,2.5707004759072,3.85460992907801,1.68271177793586
"Bothriocephalus barbatus",0,0,4.16666666666667,3.80555555555556,3.8,3.76
"Bothriocephalus claviceps",0,0,3.73333333333333,4.59555555555556,4.43440860215054,2.12526766100127
"Bothriocephalus cuspidatus",0,0,4.62857142857143,2.21442176870748,4.26031746031746,1.44652053413958
"Bothriocephalus gregarius",0,1,4.66666666666667,3.28888888888889,4.53571428571429,3.39158163265306
"Bothriocephalus opsariichthydis",0,0,4.66666666666667,3.55555555555556,3.83004926108374,3.67308718969157
"Bothriocephalus rarus",0,0,4.24444444444444,3.78469135802469,3.69852941176471,3.59293901384083
"Bothriocephalus scorpii",0,0,4.13333333333333,1.9631746031746,3.85998193315266,0.634715928610656
"Branchiopodataenia anaticapicirra",0,0,4.73333333333333,2.99555555555556,4.73333333333333,2.99555555555556
"Branchiopodataenia arctowskii",0,0,4.11111111111111,4.76543209876543,4.11111111111111,4.76543209876543
"Branchiopodataenia gvozdevi",0,0,3.5,6.25,3.5,6.25
"Branchiopodataenia haldemani",0,0,4.52380952380952,3.39229024943311,4.52380952380952,3.39229024943311
"Branchiopodataenia pacifica",0,0,4.28571428571429,4.77551020408163,4.28571428571429,4.77551020408163
"Brevimulticaecum tenuicolle",0,0,3.9,1.49,4.2,1.22666666666667
"Caballerorhynchus lamothei",0,0,6,0,4.13888888888889,1.45293209876543
"Calliobothrium verticillatum",0,0,6,0,4.09523809523809,4.18140589569161
"Callotetrarhynchus nipponica",0,0,4.5,0.583333333333333,4.5,0.583333333333333
"Camallanus anabantis",0,0,4.08333333333333,1.46527777777778,4.01818181818182,1.32694214876033
"Camallanus corderoi",1,1,5.33333333333333,0.888888888888889,3.95604395604396,1.3607052288371
"Camallanus cotti",0,0,4.15584415584416,1.00601562939225,4.02852852852853,0.919606543480417
"Camallanus lacustris",0,0,4.53157894736842,2.27005540166205,4.29861111111111,1.53384727733686
"Camallanus oxycephalus",0,0,4.35897435897436,1.58908612754767,3.84495021337127,1.271834385857
"Camallanus truncatus",0,0,4.13333333333333,3.98222222222222,4.2,1.48873563218391
"Camallanus xenentodoni",0,0,5,2.33333333333333,5,2.33333333333333
"Capillaria anatis",0,3,2.84615384615385,2.36094674556213,3.0859097127223,1.30424742823672
