i.vec,sp.query,q.rank,ncbi.ids,class,cohort,family,genus,infraclass,infraorder,kingdom,order,phylum,species,species group,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe
295,Mugil  chelo,genus,8190,Actinopteri,Euteleosteomorpha,Mugilidae,Mugil,Teleostei,NA,Metazoa,Mugiliformes,Chordata,NA,NA,Neopterygii,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
297,Mytilicola intestinalis,species,298439,Hexanauplia,NA,Mytilicolidae,Mytilicola,Neocopepoda,NA,Metazoa,Cyclopoida,Arthropoda,Mytilicola intestinalis,NA,Copepoda,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Podoplea,NA
315,Numenius  arquata,genus,32638,Aves,NA,Scolopacidae,Numenius,Neognathae,NA,Metazoa,Charadriiformes,Chordata,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA
316,Numenius  phaeopus,genus,32638,Aves,NA,Scolopacidae,Numenius,Neognathae,NA,Metazoa,Charadriiformes,Chordata,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA
317,Nyctotherus ,genus,70074,Armophorea,NA,Metopidae,Nyctotherus,NA,NA,NA,Metopida,Ciliophora,NA,NA,NA,NA,NA,NA,NA,Intramacronucleata,NA,NA,NA,Eukaryota,NA,NA
322,Opalina ,genus,94775,NA,NA,Opalinidae,Opalina,NA,NA,NA,Slopalinida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
338,Paramonostomum chabaudi,genus,138571,Trematoda,NA,Notocotylidae,Paramonostomum,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Pronocephalata,NA,NA,NA,Pronocephaloidea,Eukaryota,NA,NA
340,Paraonis sp.,genus,397593,Polychaeta,NA,Paraonidae,Paraonis,NA,NA,Metazoa,Scolecida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
354,Phalacrocorax  melanoleucos,genus,9207,Aves,NA,Phalacrocoracidae,Phalacrocorax,Neognathae,NA,Metazoa,Pelecaniformes,Chordata,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA
355,Phalacrocorax  varius,genus,9207,Aves,NA,Phalacrocoracidae,Phalacrocorax,Neognathae,NA,Metazoa,Pelecaniformes,Chordata,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA
356,Philophthalmus sp. ,genus,685953,Trematoda,NA,Philophthalmidae,Philophthalmus,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
359,Phoxocephalus regium,genus,2449126,Malacostraca,NA,Phoxocephalidae,Phoxocephalus,NA,NA,Metazoa,Amphipoda,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,Gammaridea,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,NA
367,Podocotyle atomon,species,1231037,Trematoda,NA,Opecoelidae,Podocotyle,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,Podocotyle atomon,NA,Digenea,NA,NA,NA,Xiphidiata,NA,NA,NA,Allocreadioidea,Eukaryota,NA,NA
373,Praunus flexuosus,species,236572,Malacostraca,NA,Mysidae,Praunus,NA,NA,Metazoa,Mysida,Arthropoda,Praunus flexuosus,NA,Eumalacostraca,Mysinae,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,Mysini
374,Praunus inermis,species,1732120,Malacostraca,NA,Mysidae,Praunus,NA,NA,Metazoa,Mysida,Arthropoda,Praunus inermis,NA,Eumalacostraca,Mysinae,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,Mysini
377,Profilicollis antarcticus,species,1822490,Palaeacanthocephala,NA,Polymorphidae,Profilicollis,NA,NA,Metazoa,Polymorphida,Acanthocephala,Profilicollis antarcticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
378,Profilicollis botulus,species,449646,Palaeacanthocephala,NA,Polymorphidae,Profilicollis,NA,NA,Metazoa,Polymorphida,Acanthocephala,Profilicollis botulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
379,Profilicollis novaezelandensis,species,2170607,Palaeacanthocephala,NA,Polymorphidae,Profilicollis,NA,NA,Metazoa,Polymorphida,Acanthocephala,Profilicollis novaezelandensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
388,Pseudocorynosoma constrictum,species,500319,Palaeacanthocephala,NA,Polymorphidae,Pseudocorynosoma,NA,NA,Metazoa,Polymorphida,Acanthocephala,Pseudocorynosoma constrictum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
394,Psilochasmus aglyptorchis,genus,99735,Trematoda,NA,Psilostomidae,Psilochasmus,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
395,Psilochasmus oxyurus,species,99736,Trematoda,NA,Psilostomidae,Psilochasmus,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,Psilochasmus oxyurus,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
396,Psilostomum brevicolle,species,1775848,Trematoda,NA,Psilostomidae,Psilostomum,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,Psilostomum brevicolle,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
400,Rhabdochona sp.,genus,378081,Chromadorea,NA,Rhabdochonidae,Rhabdochona,NA,Spiruromorpha,Metazoa,Rhabditida,Nematoda,NA,NA,NA,NA,NA,NA,Spirurina,NA,NA,NA,Spiruroidea,Eukaryota,NA,NA
403,Ribeiroia ondatrae,species,296285,Trematoda,NA,Echinostomatidae,Ribeiroia,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,Ribeiroia ondatrae,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
406,Sacculina carcini,species,51650,Hexanauplia,NA,Sacculinidae,Sacculina,Cirripedia,NA,Metazoa,Kentrogonida,Arthropoda,Sacculina carcini,NA,Thecostraca,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Rhizocephala,NA
433,Sphaerodorum sp.,genus,948934,Polychaeta,NA,Sphaerodoridae,Sphaerodorum,Aciculata,NA,Metazoa,Phyllodocida,Annelida,NA,NA,Palpata,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
442,Styela  clava,genus,7724,Ascidiacea,NA,Styelidae,Styela,NA,NA,Metazoa,Stolidobranchia,Chordata,NA,NA,NA,NA,NA,NA,NA,Tunicata,NA,NA,NA,Eukaryota,NA,NA
452,Tetrastemma melanocephalum,species,307678,Enopla,NA,Tetrastemmatidae,Tetrastemma,NA,NA,Metazoa,Monostilifera,Nemertea,Tetrastemma melanocephalum,NA,Hoplonemertea,NA,NA,NA,Eumonostilifera,NA,NA,NA,NA,Eukaryota,NA,NA
453,Tharyx killariensis,genus,876024,Polychaeta,NA,Cirratulidae,Tharyx,NA,NA,Metazoa,Spionida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
454,Tharyx sp.,genus,876024,Polychaeta,NA,Cirratulidae,Tharyx,NA,NA,Metazoa,Spionida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
457,Travisia sp.,genus,205112,Polychaeta,NA,Opheliidae,Travisia,NA,NA,Metazoa,Scolecida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
460,Tringa  erythropus,genus,161681,Aves,NA,Scolopacidae,Tringa,Neognathae,NA,Metazoa,Charadriiformes,Chordata,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA
463,Tropisternus ,genus,538626,Insecta,Holometabola,Hydrophilidae,Tropisternus,Neoptera,Staphyliniformia,Metazoa,Coleoptera,Arthropoda,NA,NA,Pterygota,Hydrophilinae,NA,NA,Polyphaga,Hexapoda,NA,NA,Hydrophiloidea,Eukaryota,NA,NA
