i.vec,sp.query,q.rank,ncbi.ids,class,cohort,family,genus,infraclass,infraorder,kingdom,order,phylum,species,species group,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe
127,Decamastus sp.,genus,1932350,Polychaeta,NA,Capitellidae,Decamastus,NA,NA,Metazoa,Capitellida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
130,Diastylopsis thileniusi,genus,199723,Malacostraca,NA,Diastylidae,Diastylopsis,NA,NA,Metazoa,Cumacea,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,NA
138,Dorvillea incerta,genus,160441,Polychaeta,NA,Dorvilleidae,Dorvillea,Aciculata,NA,Metazoa,Eunicida,Annelida,NA,NA,Palpata,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
140,Echinorhynchus sp.,genus,57285,Palaeacanthocephala,NA,Echinorhynchidae,Echinorhynchus,NA,NA,Metazoa,NA,Acanthocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
141,Echinostoma ,genus,27847,Trematoda,NA,Echinostomatidae,Echinostoma,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
142,Echinostoma trivolvis,species,27849,Trematoda,NA,Echinostomatidae,Echinostoma,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,Echinostoma trivolvis,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
144,Edwardsia  leucomelos,genus,51817,Anthozoa,NA,Edwardsiidae,Edwardsia,NA,NA,Metazoa,Actiniaria,Cnidaria,NA,NA,Hexacorallia,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
161,Exogone  sp. 2,genus,199555,Polychaeta,NA,Syllidae,Exogone,Aciculata,NA,Metazoa,Phyllodocida,Annelida,NA,NA,Palpata,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
162,Exogone sp. 1,genus,199555,Polychaeta,NA,Syllidae,Exogone,Aciculata,NA,Metazoa,Phyllodocida,Annelida,NA,NA,Palpata,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
163,Exogone sp. 3,genus,199555,Polychaeta,NA,Syllidae,Exogone,Aciculata,NA,Metazoa,Phyllodocida,Annelida,NA,NA,Palpata,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
